BL ST 109  - GEOPOLITICS OF RACE,4.0,Letter Graded,MW,3:30 PM-4:45 PM,"Phelps Hall, 1160",ALVES J A,Space 19,Max 60,59956
BL ST 117  - SLAVERY & MODERNITY,4.0,Letter Graded,TR,3:30 PM-4:45 PM,"North Hall, 1105",MCAULEY C,Space 1,Max 65,02774
"BL ST 122  - BLK YOUTH, DEVELOP",4.0,Letter Graded,MW,9:30 AM-10:45 AM,"Phelps Hall, 1425",MARSHALL B L,Space Full,Max 35,59998
BL ST 125  - QUEER BLST,4.0,Letter Graded,TR,3:30 PM-4:45 PM,"Phelps Hall, 1425",LOCKWOOD M R,Space 4,Max 35,60004
BL ST 131  - RACE & PUBLIC POL,4.0,Letter Graded,TR,2:00 PM-3:15 PM,"BIOEN, 1001",COFFEY EDISON,Space 4,Max 65,60210
BL ST 136  - BLACK FEM THOUGHT,4.0,Letter Graded,MW,3:30 PM-4:45 PM,"North Hall, 1006",LYONS C D,Space 13,Max 65,02790
BL ST 146  - TOPICS BLACK PERFOR,4.0,Letter Graded,MW,3:30 PM-4:45 PM,"North Hall, 1105",STRONGMAN R D,Space 57,Max 65,59972
BL ST 153  - BLK FEM & POP MUSIC,4.0,Letter Graded,TR,2:00 PM-3:15 PM,"HSSB, 1173",TINSLEY O N,Space Full,Max 65,59980
BL ST 155  - VISUAL CULTURE,4.0,Letter Graded,MW,3:30 PM-4:45 PM,"Phelps Hall, 1425",WEBBER M E,Space 25,Max 65,60202
BL ST 171  - AFRICA IN FILM,4.0,Letter Graded,TR,8:00 AM-9:15 AM,"North Hall, 1105",AKUDINOBI J,Space 2,Max 65,60228
BL ST 174  - PLTNS TO PRISONS,4.0,Letter Graded,MW,5:00 PM-6:15 PM,"Phelps Hall, 1160",ALVES J A,Space 3,Max 65,59964
BL ST 190B  - SENIOR THESIS,4.0,Letter Graded,TR,3:30 PM-4:45 PM,"South Hall, 3707",BURNETT M D,Space 15,Max 20,02865
BL ST 190BH - HONORS THESIS,4.0,Letter Graded,TR,3:30 PM-4:45 PM,"South Hall, 3707",BURNETT M D,Space 9,Max 10,02873
BL ST 197  - RESEARCH SEMINAR,1.0-8.0,Optional,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space 12,Max 12,02899
BL ST 199  - INDEPENDENT STUDIES,1.0-4.0,Letter Graded,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space 10,Max 10,02907
BL ST 199RA - INDEP RESEARCH ASST,1.0-5.0,Letter Graded,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space 10,Max 10,02915
CH E 99  - INTRO. TO RESEARCH,1.0-3.0,Optional,T.B.A.,T.B.A.,T.B.A.,T.B.A.,Space 20,Max 20,03673
CH E 107  - INTRO TO BIOPROCESS,3.0,Letter Graded,TR,2:00 PM-3:15 PM,"ENGR2, 1519",O'MALLEY M A,Space 4,Max 50,03681
CH E 110A  - CHEM ENGR THERMODYN,3.0,Letter Graded,MWF,12:00 PM-12:50 PM,"ENGR2, 1519",GORDON M J,Space 26,Max 70,03699
CH E 120B  - TRANSPORT PROCESSES,3.0,Letter Graded,MW,2:00 PM-3:15 PM,"ENGR2, 1519",CHMELKA B F,Space 18,Max 70,03715
CH E 121  - COLLOID/BIOSURFACES,3.0,Letter Graded,TR,11:00 AM-12:15 PM,"ENGR2, 1519",HELGESON M E,Space 2,Max 25,53355
CH E 132C  - STAT METHODS IN CHE,3.0,Letter Graded,TR,12:30 PM-1:45 PM,"ENGR2, 1519",MUKHERJEE ARN,Space 21,Max 70,03723
CH E 141  - SCI&ENG ENERGY CONV,3.0,Letter Graded,TR,3:30 PM-4:45 PM,"ENGR2, 1519",MCFARLAND E W,Space 18,Max 25,03749
CH E 152B  - ADV PROCESS CONTROL,3.0,Letter Graded,TR,11:00 AM-12:15 PM,"ENGR2, 3301",RAWLINGS J B,Space 5,Max 22,53397
CH E 154  - SYSTEMS BIOLOGY,3.0,Letter Graded,MW,11:00 AM-12:15 PM,"ENGR2, 3301",DEY S S,Space 2,Max 19,03764
